,Unnamed: 0,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1119,1119,Single,17,1,9500,Daytime,1,127,Portuguese,19,38,5,9,129.5,1,0,0,1,female,1,20,0,0,7,7,6,12.33333333,0,0,7,7,6,12.33333333,0,7.6,2.6,0.32,Graduate
1120,1120,Single,39,1,9238,Daytime,1,170,Portuguese,38,19,9,9,140,1,0,0,1,Female,0,24,0,0,6,9,4,15.75,0,0,6,10,5,16.4,0,9.4,-0.8,-3.12,Enrolled
1121,1121,Single,1,3,9670,Daytime,1,111,Portuguese,1,1,5,5,105.4,0,0,0,1,female,0,20,0,0,5,6,5,13.33333333,0,0,5,6,5,13.2,0,7.6,2.6,0.32,Graduate
1122,1122,Single,42,1,9500,Daytime,1,100,Portuguese,1,19,4,8,136,1,0,0,1,Female,0,21,0,4,7,9,7,14.35555556,0,5,8,8,8,13.49375,0,15.5,2.8,-4.06,Graduate
1123,1123,Single,44,1,9003,Daytime,39,160,Portuguese,37,38,9,9,160,0,0,1,1,female,1,19,0,0,6,8,6,13,0,0,6,11,5,13,0,15.5,2.8,-4.06,Graduate
1124,1124,Single,1,1,9773,Daytime,1,152,Portuguese,38,37,9,9,139.1,0,0,0,1,FEMALE,1,19,0,0,6,6,6,12.83333333,0,0,6,6,6,13.5,0,16.2,0.3,-0.92,Graduate
1125,1125,Single,1,2,9670,Daytime,1,144,Portuguese,37,38,9,9,126.9,0,0,0,1,Female,1,21,0,0,5,5,5,13.2,0,0,5,5,4,13,0,9.4,-0.8,-3.12,Graduate
1126,1126,Single,39,1,9500,Daytime,3,133.8,Portuguese,3,37,2,10,184,0,0,0,1,Female,0,28,0,0,7,9,7,17.00555556,0,1,8,9,8,16.58222222,0,15.5,2.8,-4.06,Graduate
1127,1127,Single,1,1,9238,Daytime,1,125,Portuguese,37,38,9,9,125,1,0,1,0,Female,1,19,0,0,6,8,5,10.6,0,0,6,8,5,11,0,10.8,1.4,1.74,Graduate
1128,1128,Single,1,1,9147,Daytime,1,150,Portuguese,37,37,9,6,138.5,0,0,0,1,female,1,18,0,0,5,5,5,14,0,0,5,6,5,13.6,0,12.4,0.5,1.79,Graduate
1129,1129,Facto Union,17,5,9500,Daytime,1,143,Portuguese,37,38,5,8,133.5,1,0,0,1,female,1,18,0,0,8,8,7,12.11428571,0,0,8,8,7,12.11428571,0,12.7,3.7,-1.7,Graduate
1130,1130,Single,1,3,9500,Daytime,1,145,Portuguese,19,37,7,7,141.5,1,0,0,1,FEMALE,1,18,0,0,8,8,8,13.05875,0,0,8,8,8,13.05875,0,9.4,,,Graduate
1131,1131,Single,42,1,9500,Daytime,1,120,Portuguese,1,2,9,3,130,1,0,0,1,Female,0,22,0,4,8,8,7,13.28571429,0,4,8,8,7,13.28571429,0,12.7,3.7,-1.7,Graduate
1132,1132,Single,1,1,9147,Daytime,1,138,Portuguese,37,37,194,171,131,1,0,0,1,female,0,19,0,0,5,9,4,11,0,0,5,8,3,10.66666667,0,12.4,0.5,1.79,Enrolled
1133,1133,Single,1,1,9500,Daytime,1,145,Portuguese,19,1,9,5,145,0,0,0,1,Female,1,18,0,0,7,7,7,14.07142857,0,0,8,8,8,15.1625,0,13.9,-0.3,0.79,Graduate
1134,1134,Single,17,1,9254,Daytime,1,122,Portuguese,37,37,5,6,114.3,0,0,0,0,FEMALE,0,20,0,0,6,0,0,0,0,0,6,0,0,0,0,15.5,2.8,-4.06,Dropout
1135,1135,Single,44,1,171,Daytime,39,110,Portuguese,37,37,5,6,108.3,0,0,0,0,Female,0,26,0,4,9,9,4,11.25,0,3,10,12,3,11,0,12.4,0.5,1.79,Dropout
1136,1136,Single,1,3,9070,Daytime,1,136,Portuguese,37,38,9,9,125.2,1,0,0,1,female,1,18,0,0,6,6,6,14,0,0,6,8,6,13.625,0,10.8,1.4,1.74,Graduate
1137,1137,Single,1,1,9254,Daytime,1,145,Portuguese,1,38,4,9,131.7,1,0,0,1,Female,1,21,0,0,6,8,6,12.16666667,0,0,6,11,3,11.66666667,0,10.8,1.4,1.74,Dropout
1138,1138,Single,17,4,9500,Daytime,1,141,Portuguese,38,37,3,3,126.3,1,0,0,1,Female,0,18,0,0,8,8,7,13.29714286,0,0,8,8,7,13.29714286,0,10.8,1.4,1.74,Graduate
1139,1139,Single,1,1,9085,Daytime,1,149,Portuguese,19,19,4,6,147.6,1,0,0,1,female,0,20,0,0,6,14,6,13.92307692,0,0,6,9,6,14.25,0,15.5,2.8,-4.06,Graduate
1140,1140,Single,1,6,9500,Daytime,1,130,Portuguese,38,19,5,6,125.1,1,0,0,1,Female,0,18,0,0,7,11,7,13.37,0,0,8,13,7,12.83333333,0,15.5,2.8,-4.06,Graduate
1141,1141,Single,17,6,9147,Daytime,1,121,Portuguese,19,38,7,9,123.8,0,0,0,1,Female,1,19,0,0,5,5,5,12.4,0,0,5,8,3,11,0,12.7,3.7,-1.7,Enrolled
1142,1142,Single,1,1,9670,Daytime,1,128,Portuguese,1,1,2,2,130.8,1,0,0,1,Female,0,20,0,0,5,5,4,15,0,0,5,5,4,13.75,0,7.6,2.6,0.32,Dropout
1143,1143,Single,1,1,9853,Daytime,1,152,Portuguese,19,19,9,5,154.1,0,0,1,1,Female,1,18,0,0,6,6,6,13.33333333,0,0,6,7,6,12.57142857,0,12.7,3.7,-1.7,Graduate
1144,1144,Single,16,2,9147,Daytime,1,132,Portuguese,37,37,9,9,122.6,1,0,0,1,Female,1,20,0,0,5,8,3,12,0,0,5,9,4,12.625,0,10.8,1.4,,Enrolled
1145,1145,Single,1,2,8014,Evening,1,107,Portuguese,19,11,0,0,103.5,1,0,0,1,female,0,22,0,0,6,7,5,13.4,0,0,6,9,5,12.2,0,7.6,2.6,0.32,Graduate
1146,1146,Single,1,1,171,Daytime,1,131,Portuguese,19,38,4,5,132.8,1,0,0,1,female,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0.32,Enrolled
1147,1147,Single,51,1,9991,Evening,1,141,Portuguese,19,38,5,7,100,0,0,0,1,FEMALE,0,21,0,1,5,9,4,11.5,0,1,5,5,5,11.4,0,8.9,1.4,3.51,Graduate
1148,1148,Single,18,2,9853,Daytime,1,120,Portuguese,1,1,9,0,115.8,0,0,0,1,female,0,18,0,0,7,12,6,12,0,0,7,11,6,12.16666667,0,13.9,-0.3,0.79,Enrolled
1149,1149,Single,1,1,9500,Daytime,1,148,Portuguese,19,19,4,4,133.8,0,0,0,1,Female,0,18,0,0,8,8,7,13.48571429,0,0,8,8,7,13.48571429,0,12.7,3.7,-1.7,Graduate
1150,1150,Single,1,1,9070,Daytime,1,130,Portuguese,12,19,4,5,118.5,0,1,0,1,Female,1,18,0,0,6,6,6,12,0,0,6,8,6,11.28571429,0,8.9,1.4,3.51,Graduate
1151,1151,Single,17,1,171,Daytime,1,145,Portuguese,37,37,9,1,150.3,1,0,0,1,Female,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.8,-4.06,Dropout
1152,1152,Single,17,3,9147,Daytime,1,112,Portuguese,1,19,3,5,107.8,1,0,0,1,Female,0,19,0,0,5,7,3,10.33333333,0,0,5,11,3,14.42857143,0,10.8,1.4,1.74,Enrolled
1153,1153,Single,1,1,9500,Daytime,1,138,Portuguese,38,1,9,4,127.5,1,0,0,1,Female,0,19,0,0,7,10,5,12.94,0,0,7,7,5,13.76,0,16.2,0.3,-0.92,Enrolled
1154,1154,Single,1,3,9500,Daytime,1,135,Portuguese,1,37,7,7,120.5,1,0,0,1,Female,0,19,0,0,8,11,7,13.25857143,0,0,8,11,7,13.25857143,0,10.8,1.4,1.74,Graduate
1155,1155,Single,1,1,9147,Daytime,1,118,Portuguese,1,2,10,10,117.3,1,0,0,1,FEMALE,0,19,0,0,5,9,4,12.25,0,0,5,10,4,12,0,8.9,1.4,3.51,Enrolled
1156,1156,Single,17,1,9254,Daytime,1,123,Portuguese,38,37,9,7,120.6,1,0,0,0,Female,0,19,0,0,6,9,3,11.66666667,0,0,6,15,1,10,0,10.8,1.4,1.74,Dropout
1157,1157,Single,16,4,9254,Daytime,1,126,Portuguese,38,37,9,7,118.7,1,0,0,1,Female,1,21,0,0,6,7,6,13.57142857,0,0,6,6,6,12.5,0,8.9,1.4,3.51,Graduate
1158,1158,Single,1,2,9773,Daytime,1,150,Brazilian,1,37,9,7,130.8,0,0,0,1,female,1,20,1,0,6,9,5,11.8,0,0,6,9,5,11.83333333,0,15.5,2.8,-4.06,Graduate
1159,1159,Single,1,1,9147,Daytime,1,121,Portuguese,19,19,3,9,112.6,1,0,0,1,FEMALE,1,20,0,0,5,7,5,14.2,0,0,5,7,5,13.28571429,0,11.1,0.6,2.02,Graduate
1160,1160,Single,39,1,9991,Evening,19,133.1,Portuguese,37,37,9,9,117.2,0,0,0,1,Female,0,41,0,0,5,8,5,11,0,0,5,6,5,11.8,1,7.6,2.6,0.32,Graduate
1161,1161,Divorced,7,1,9500,Daytime,40,130,Portuguese,37,37,3,3,130,1,0,0,1,FEMALE,0,32,0,0,7,16,4,13.625,0,0,7,8,7,12.6375,0,12.4,0.5,1.79,Enrolled
1162,1162,Single,17,3,9500,Daytime,1,139,Portuguese,38,1,9,5,131.8,1,0,0,1,Female,0,18,0,0,8,8,7,14.65285714,0,0,8,8,7,14.65285714,0,10.8,1.4,1.74,Graduate
1163,1163,Divorced,39,1,8014,Evening,1,160,Portuguese,37,37,3,4,97,0,0,0,1,FEMALE,1,35,0,0,6,9,6,11.33333333,0,0,6,6,6,11.33333333,0,15.5,2.8,-4.06,Graduate
1164,1164,Single,39,1,9500,Daytime,1,110,Portuguese,37,37,9,9,130,0,0,1,0,Female,0,32,0,0,7,12,4,13.7,0,0,7,7,0,0,0,16.2,0.3,-0.92,Dropout
1165,1165,Single,39,1,8014,Evening,40,140,Portuguese,19,37,5,9,148,0,0,0,1,Female,0,37,0,7,11,11,11,13.72727273,0,4,8,8,8,14.75,0,12.4,0.5,1.79,Graduate
1166,1166,Married,39,2,9147,Daytime,3,130,Portuguese,3,37,9,9,103.4,0,0,0,1,Female,0,30,0,4,7,9,7,11.75,0,3,8,12,7,11.14285714,0,12.7,3.7,-1.7,Dropout
1167,1167,Single,43,2,9773,Daytime,1,132,Portuguese,19,19,0,0,127.1,0,0,0,1,Male,0,23,0,0,6,9,6,12.33333333,0,0,6,11,5,13,0,7.6,2.6,0.32,Graduate
1168,1168,Single,17,2,9773,Daytime,1,139,Portuguese,3,1,2,7,124,1,0,0,1,female,1,20,0,0,6,6,6,14,0,0,6,7,6,13.85714286,0,15.5,2.8,-4.06,Dropout
1169,1169,Single,1,1,9670,Daytime,1,135,Portuguese,19,37,5,7,121.4,0,0,0,1,MALE,0,21,0,0,5,7,4,11.5,0,0,5,6,4,11.75,0,9.4,-0.8,-3.12,Graduate
1170,1170,Single,1,1,9147,Daytime,1,117,Portuguese,38,19,5,7,118.1,0,0,0,1,male,0,19,0,0,5,6,5,11.2,0,0,5,5,5,13.2,0,12.4,0.5,1.79,Graduate
1171,1171,Single,17,4,9500,Daytime,1,137,Portuguese,1,19,4,3,121.3,1,0,0,1,male,1,18,0,0,8,8,7,15.07,0,0,8,8,7,15.07,0,10.8,1.4,1.74,Graduate
1172,1172,Single,42,1,9119,Daytime,1,144,Portuguese,34,34,0,0,119.5,0,0,0,1,MALE,0,18,0,0,5,6,1,10,0,0,5,7,1,12,0,10.8,1.4,1.74,Dropout
1173,1173,Single,39,1,9991,Evening,1,130,Portuguese,1,1,4,10,115.2,0,0,0,1,Male,0,24,0,0,5,5,4,12,0,0,5,6,5,12.66666667,0,12.4,0.5,1.79,Enrolled
1174,1174,Single,18,1,9670,Daytime,1,140,Portuguese,1,37,9,9,130.2,1,0,0,1,MALE,0,22,0,0,6,11,4,13,0,0,6,11,4,12.6,0,12.7,3.7,-1.7,Graduate
1175,1175,Single,17,4,9254,Daytime,1,130,Portuguese,19,1,5,5,130,1,0,0,1,male,0,18,0,0,6,7,4,11,0,0,6,7,3,11.25,0,16.2,0.3,-0.92,Dropout
1176,1176,Single,16,2,9238,Daytime,1,130,Portuguese,37,37,5,6,126.9,1,0,0,1,Female,0,18,0,0,6,8,6,13.57142857,0,0,6,11,5,12.16666667,0,9.4,-0.8,-3.12,Graduate
1177,1177,Single,1,2,9070,Daytime,1,152,Mexican,2,1,9,1,168.5,1,0,0,1,Male,0,21,1,0,6,7,5,14.6,0,0,6,6,5,14.2,0,16.2,0.3,-0.92,Graduate
1178,1178,Divorced,39,1,9500,Daytime,1,133.1,Portuguese,37,37,9,9,130,0,0,1,1,female,0,38,0,0,7,13,3,11.83333333,0,0,7,14,2,10,0,16.2,0.3,-0.92,Dropout
1179,1179,Single,18,1,9556,Daytime,1,140,Portuguese,38,37,9,9,122.8,0,0,0,1,Female,1,19,0,0,7,11,7,12.625,0,0,8,11,8,12.5125,0,12.7,3.7,-1.7,Graduate
1180,1180,Legally Separated,39,1,9500,Daytime,1,133.1,Portuguese,37,37,9,9,110,0,0,0,1,Female,0,36,0,0,7,12,4,11.5,0,0,7,14,3,12.33333333,0,16.2,0.3,-0.92,Dropout
1181,1181,Single,16,1,9085,Daytime,1,140,Portuguese,1,1,9,9,127.1,1,0,0,1,female,0,18,0,0,5,8,4,13.25,1,0,5,10,4,10.5,0,12.7,3.7,-1.7,Graduate
1182,1182,Single,1,3,9500,Daytime,1,133.1,Portuguese,19,19,5,5,108.5,1,0,0,1,female,0,19,0,0,7,9,7,12.60625,0,0,8,12,6,11.9,0,12.4,0.5,1.79,Graduate
1183,1183,Single,53,1,9085,Daytime,42,140,Portuguese,19,38,9,9,138.2,0,0,1,0,Female,0,21,0,7,10,15,8,13.75,0,4,9,17,5,13.2,0,8.9,1.4,3.51,Dropout
1184,1184,Single,1,2,9500,Daytime,1,133.1,Portuguese,19,38,192,192,96,1,0,0,1,Female,0,19,0,0,7,10,6,13.59833333,0,0,8,11,6,11.93333333,0,11.1,0.6,2.02,Enrolled
1185,1185,Single,1,1,9238,Daytime,1,135,Portuguese,19,19,9,9,124.5,0,0,0,1,female,1,18,0,0,6,11,5,11.14285714,0,0,6,8,6,12.28571429,0,16.2,0.3,-0.92,Graduate
1186,1186,Married,7,1,9500,Daytime,3,120,Portuguese,37,19,9,7,120,1,0,0,1,female,0,45,0,7,11,11,11,12.7,0,6,10,12,10,12.96818182,0,13.9,-0.3,0.79,Enrolled
1187,1187,Single,17,1,9147,Daytime,1,140,Portuguese,37,37,9,7,132.3,1,0,0,1,Female,0,20,0,0,5,9,1,10,0,0,5,10,1,11,0,7.6,2.6,0.32,Dropout
1188,1188,Single,17,1,9254,Daytime,1,128,Portuguese,19,1,5,7,120.7,1,0,1,1,Female,0,18,0,0,6,8,6,11.66666667,0,0,6,10,4,11.5,0,13.9,-0.3,0.79,Graduate
1189,1189,Single,1,1,9670,Daytime,1,141,Portuguese,1,19,4,4,132.6,0,0,0,1,female,1,18,0,0,6,8,6,14,0,0,6,7,6,13.14285714,0,11.1,0.6,2.02,Graduate
1190,1190,Single,7,2,9130,Daytime,3,140,Portuguese,34,34,0,0,140,0,0,0,1,Female,0,25,0,0,5,9,0,0,4,0,5,9,0,0,3,10.8,1.4,1.74,Dropout
1191,1191,Single,1,6,9500,Daytime,1,139,Portuguese,1,1,4,4,124.5,1,0,0,1,FEMALE,0,19,0,0,8,9,7,12.04142857,0,0,8,9,7,12.04142857,0,10.8,1.4,1.74,Graduate
1192,1192,Single,1,1,171,Daytime,1,142,Portuguese,19,19,7,7,142,1,0,0,1,FEMALE,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,-0.3,0.79,Graduate
1193,1193,Single,7,1,9254,Daytime,40,130,Portuguese,1,1,3,6,130,0,0,0,1,female,0,39,0,12,13,14,13,13.76923077,0,9,12,16,12,14.58333333,0,13.9,-0.3,0.79,Graduate
1194,1194,Married,39,1,9003,Daytime,1,130,Portuguese,38,37,9,9,144,0,0,0,1,female,0,29,0,13,18,20,18,15.44444444,0,11,13,13,13,15.30769231,0,15.5,2.8,-4.06,Graduate
1195,1195,Single,17,1,9853,Daytime,1,125,Portuguese,19,19,4,7,128.5,1,0,0,1,FEMALE,0,18,0,0,7,9,6,11.5,0,0,7,8,7,12.71428571,0,13.9,-0.3,0.79,Enrolled
1196,1196,Single,7,1,9070,Daytime,3,140,Portuguese,37,2,9,3,140,0,0,0,0,Female,0,23,0,0,3,3,2,10,0,0,6,0,0,0,0,10.8,1.4,1.74,Dropout
1197,1197,Single,42,1,9853,Daytime,1,120,Portuguese,1,37,5,5,113.9,1,0,0,1,FEMALE,0,21,0,0,6,8,4,12.25,0,0,6,13,3,10.33333333,0,12.7,3.7,-1.7,Dropout
1198,1198,Single,1,1,9238,Daytime,1,147,Portuguese,1,19,4,4,137.2,0,0,0,0,female,0,18,0,0,6,6,6,14.5,0,0,6,6,6,15.16666667,0,10.8,1.4,1.74,Graduate
1199,1199,Single,7,1,9085,Daytime,40,140,Portuguese,1,19,5,5,140,1,0,0,1,female,0,23,0,0,6,7,6,15.57142857,0,0,6,8,6,16.375,0,12.4,0.5,1.79,Graduate
1200,1200,Single,1,1,9130,Daytime,1,161,Portuguese,1,19,4,4,152.3,0,0,0,1,female,0,18,0,0,6,7,6,15.57142857,0,0,6,7,6,14.71428571,0,11.1,0.6,2.02,Graduate
1201,1201,Married,39,1,8014,Evening,19,133.1,Portuguese,37,37,4,8,112.5,0,0,0,1,FEMALE,0,32,0,0,6,8,5,13.8,0,0,6,7,6,12.16666667,0,9.4,-0.8,-3.12,Graduate
1202,1202,Married,39,2,9147,Daytime,1,150,Portuguese,19,37,9,7,101,0,0,1,0,Female,0,29,0,0,5,8,3,10.66666667,0,0,5,14,2,14.8,0,10.8,1.4,1.74,Dropout
1203,1203,Single,1,6,9238,Daytime,1,113,Portuguese,1,38,194,163,112.3,1,0,1,1,Female,1,20,0,0,6,8,5,11.6,0,0,6,8,4,11.75,0,8.9,1.4,3.51,Graduate
1204,1204,Single,39,1,9238,Daytime,1,140,Portuguese,34,34,0,0,114,1,0,0,0,Female,0,28,0,0,6,11,1,13,0,0,6,12,0,0,0,9.4,-0.8,-3.12,Dropout
1205,1205,Single,7,1,9147,Daytime,3,130,Portuguese,38,38,1,9,130,0,0,0,1,FEMALE,0,27,0,0,5,9,3,12,0,0,5,11,4,13.625,0,10.8,1.4,1.74,Graduate
1206,1206,Single,43,2,9500,Daytime,1,120,Portuguese,37,34,90,0,121.5,0,0,1,1,female,0,22,0,11,14,14,12,12.33333333,2,11,14,14,12,12.33333333,2,7.6,2.6,0.32,Graduate
1207,1207,Married,39,1,9003,Daytime,19,133.1,Portuguese,19,37,9,10,120,0,0,1,1,female,0,37,0,0,6,10,6,12.875,0,0,6,12,6,12.9,0,16.2,0.3,-0.92,Enrolled
1208,1208,Single,7,1,8014,Evening,3,130,Portuguese,37,38,0,5,130,0,0,0,0,Female,0,28,0,0,6,12,1,11,0,0,6,0,0,0,0,12.7,3.7,-1.7,Dropout
1209,1209,Married,39,1,9003,Daytime,1,120,Portuguese,37,37,9,9,125.7,0,0,1,0,FEMALE,0,43,0,0,6,10,4,12.25,0,0,6,13,4,10.5,0,8.9,1.4,3.51,Dropout
1210,1210,Single,43,1,9556,Daytime,1,140,Portuguese,37,37,9,9,128,1,0,0,0,Female,0,32,0,0,7,7,0,0,7,0,8,8,0,0,7,10.8,1.4,1.74,Dropout
1211,1211,Single,17,1,9238,Daytime,1,123,Portuguese,1,1,9,9,113.2,0,0,0,1,Female,1,20,0,0,6,11,4,10.75,0,0,6,13,5,11.5,0,15.5,2.8,-4.06,Enrolled
1212,1212,Divorced,39,1,9500,Daytime,19,133.1,Portuguese,38,1,9,4,120,0,0,0,1,Female,1,35,0,0,8,9,8,13.63,1,0,8,9,8,13.63,1,9.4,-0.8,-3.12,Graduate
1213,1213,Single,1,1,9670,Daytime,1,130,Portuguese,37,37,0,0,117.8,1,0,0,1,female,0,21,0,0,5,8,3,13,0,0,5,7,4,11.5,1,7.6,2.6,0.32,Graduate
1214,1214,Single,1,4,9500,Daytime,1,126,Portuguese,19,19,7,9,121.3,1,0,0,1,Female,1,18,0,0,7,9,6,13.53333333,0,0,7,7,7,12.22857143,0,12.4,0.5,1.79,Enrolled
1215,1215,Single,1,1,9500,Daytime,1,176,Portuguese,3,38,3,7,169.7,0,0,0,1,female,1,18,0,0,7,7,7,16.9,0,0,8,9,8,16.37777778,0,16.2,0.3,-0.92,Graduate
1216,1216,Single,17,4,9238,Daytime,1,124,Portuguese,19,19,5,8,117.7,1,0,0,1,Female,0,18,0,0,6,10,5,12,0,0,6,11,4,12,0,16.2,0.3,-0.92,Graduate
1217,1217,Single,44,1,8014,Evening,39,120,Portuguese,19,37,7,6,121.8,1,0,0,1,Female,0,22,0,3,6,6,6,12.5,0,2,6,7,6,13.28571429,0,12.4,0.5,1.79,Graduate
1218,1218,Single,1,2,9500,Daytime,1,140,Portuguese,1,1,4,10,128.3,1,0,0,1,Female,0,19,0,0,8,8,7,12.76428571,0,0,8,8,7,12.76428571,0,10.8,1.4,1.74,Graduate
1219,1219,Single,18,2,9147,Daytime,1,143,Portuguese,19,38,9,7,132.2,1,0,0,1,FEMALE,1,18,0,0,5,8,5,13.75,0,0,5,6,5,12.16666667,0,13.9,-0.3,0.79,Graduate
1220,1220,Single,1,2,171,Daytime,1,136,Portuguese,39,1,3,4,134.3,1,0,1,1,Female,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,0.5,1.79,Dropout
1221,1221,Single,1,1,9500,Daytime,1,132,Portuguese,19,1,9,5,123.4,0,0,0,1,FEMALE,1,18,0,0,7,7,7,14.60428571,0,0,8,9,8,15.68333333,0,11.1,0.6,2.02,Graduate
1222,1222,Married,39,1,9991,Evening,19,133.1,Portuguese,19,39,5,3,121.7,0,0,1,0,female,0,31,0,0,5,7,0,0,0,0,5,7,0,0,0,16.2,0.3,-0.92,Dropout
1223,1223,Married,39,1,8014,Evening,19,100,Portuguese,1,19,1,5,130,0,0,1,1,FEMALE,1,33,0,0,6,9,5,13.83333333,0,0,6,7,6,12.5,0,9.4,-0.8,-3.12,Graduate
1224,1224,Single,1,3,9500,Daytime,1,137,Portuguese,19,38,7,7,126.5,1,0,0,1,FEMALE,1,19,0,0,8,8,8,13.57625,0,0,8,8,8,13.57625,0,9.4,-0.8,-3.12,Graduate
1225,1225,Single,17,1,9238,Daytime,1,153,Portuguese,38,38,7,7,159.7,1,0,0,1,Female,1,18,0,0,6,7,6,15.14285714,0,0,6,6,6,15.83333333,0,12.7,3.7,-1.7,Graduate
1226,1226,Single,1,1,9147,Daytime,1,160,Portuguese,9,19,4,3,151.3,0,0,0,1,Female,0,23,0,0,5,8,3,10.66666667,0,0,5,8,5,11.6,0,7.6,2.6,0.32,Graduate
1227,1227,Single,17,1,9238,Daytime,1,145,Portuguese,38,38,5,7,138,1,0,0,1,FEMALE,0,20,0,0,6,11,5,11.2,0,0,6,6,6,12,0,9.4,-0.8,-3.12,Graduate
1228,1228,Single,1,5,9500,Daytime,1,137,Portuguese,38,38,4,8,126.5,1,0,0,1,Female,0,18,0,0,8,8,8,13.76375,0,0,8,8,8,13.76375,0,9.4,-0.8,-3.12,Graduate
1229,1229,Single,53,1,9085,Daytime,42,140,Portuguese,1,1,4,3,140,1,0,1,1,female,0,21,0,7,9,10,8,13.25,0,4,9,14,5,12.2,0,8.9,1.4,3.51,Enrolled
1230,1230,Single,1,1,9238,Daytime,1,120,Portuguese,19,38,5,6,112.3,0,0,0,1,Female,1,22,0,0,6,10,5,10.71428571,0,0,6,10,5,12.2,0,12.7,3.7,-1.7,Graduate
1231,1231,Single,1,1,9238,Daytime,1,122,Portuguese,1,19,4,4,127.3,1,0,1,1,Female,0,20,0,0,6,6,6,12.16666667,0,0,6,7,6,11.66666667,0,9.4,-0.8,-3.12,Graduate
1232,1232,Single,7,1,9500,Daytime,3,130,Portuguese,19,38,4,10,130,1,0,0,1,FEMALE,0,23,0,1,7,8,6,14.35714286,0,1,7,8,6,14.35714286,0,7.6,2.6,0.32,Graduate
1233,1233,Single,17,2,9773,Daytime,1,133.1,Portuguese,3,1,4,5,115,1,0,0,1,Female,0,19,0,0,6,6,6,12.83333333,0,0,6,6,6,12.66666667,0,,0.3,-0.92,Graduate
1234,1234,Single,17,6,9500,Daytime,1,150,Portuguese,1,37,1,1,131.5,1,0,0,1,female,0,19,0,0,8,8,7,13.92571429,0,0,8,8,7,13.92571429,0,10.8,1.4,1.74,Graduate
1235,1235,Single,39,1,9991,Evening,1,133.1,Portuguese,19,38,7,4,125.7,0,0,0,1,female,0,26,0,0,5,9,2,12,0,0,5,9,3,11,0,10.8,1.4,1.74,Dropout
1236,1236,Single,1,6,9500,Daytime,1,141,Portuguese,1,37,4,3,126.8,1,0,0,1,female,0,18,0,0,7,7,7,13.44285714,0,0,8,9,8,13.74444444,0,16.2,0.3,-0.92,Graduate
1237,1237,Single,18,1,9119,Daytime,1,146,Portuguese,1,37,7,7,132.4,1,0,0,1,male,0,18,0,0,5,5,1,16,0,0,5,5,0,0,0,9.4,-0.8,-3.12,Dropout
1238,1238,Single,44,1,9003,Daytime,39,150,Portuguese,38,37,9,9,150,1,0,0,1,Male,0,20,0,0,6,8,6,13.125,0,0,6,10,6,13.2,0,16.2,0.3,-0.92,Graduate
1239,1239,Single,1,1,9670,Daytime,1,133.1,Portuguese,3,1,4,4,95,0,0,0,1,MALE,0,19,0,0,6,7,0,0,0,0,6,6,0,0,0,15.5,2.8,-4.06,Dropout
1240,1240,Single,43,1,9991,Evening,1,120,Portuguese,37,37,9,9,128.2,0,0,0,0,Male,0,32,0,5,9,9,5,11.4,0,4,4,4,4,11,0,10.8,1.4,1.74,Dropout
1241,1241,Married,39,1,9130,Daytime,1,150,Portuguese,19,19,4,4,130,0,0,0,0,MALE,0,31,0,0,4,12,2,11,2,0,5,9,3,11.66666667,0,9.4,-0.8,-3.12,Dropout
1242,1242,Single,39,1,9119,Daytime,19,133.1,Portuguese,1,19,4,5,100,0,0,0,1,Male,0,25,0,0,5,13,1,11,0,0,5,11,1,10,0,13.9,-0.3,0.79,Enrolled
1243,1243,Single,42,1,9085,Daytime,39,140,Portuguese,19,3,9,1,159.9,1,0,0,1,FEMALE,0,21,0,2,6,14,5,13.66666667,0,2,6,10,5,13,0,16.2,0.3,-0.92,Graduate
1244,1244,Married,43,1,9991,Evening,1,140,Portuguese,37,37,4,9,100,0,0,0,0,Female,0,31,0,2,6,10,4,11.75,0,0,5,6,1,10,0,12.7,3.7,-1.7,Dropout
1245,1245,Married,39,1,9853,Daytime,1,133.1,Portuguese,37,37,5,5,116.5,0,0,0,1,FEMALE,0,34,0,0,7,11,1,10,0,0,7,7,1,13,0,16.2,0.3,-0.92,Dropout
1246,1246,Single,1,1,9238,Daytime,1,128,Portuguese,19,19,9,9,120,0,0,0,1,female,1,18,0,0,6,8,6,13.5,0,0,6,9,6,12.83333333,0,11.1,0.6,2.02,Graduate
